,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Predicted
376,377,297,96,2,2.5,2.0,7.43,0,0.34,0.46452419615251017
377,378,290,100,1,1.5,2.0,7.56,0,0.47,0.4728605566845525
378,379,303,98,1,2.0,2.5,7.65,0,0.56,0.5224088231586861
379,380,311,99,1,2.5,3.0,8.43,1,0.71,0.6566682253430205
380,381,322,104,3,3.5,4.0,8.84,1,0.78,0.7720573521320055
381,382,319,105,3,3.0,3.5,8.67,1,0.73,0.7328471564140937
382,383,324,110,4,4.5,4.0,9.15,1,0.82,0.8325256914063162
383,384,300,100,3,3.0,3.5,8.26,0,0.62,0.6243854856284976
384,385,340,113,4,5.0,5.0,9.74,1,0.96,0.9771411772265686
385,386,335,117,5,5.0,5.0,9.82,1,0.96,0.985347040305681
386,387,302,101,2,2.5,3.5,7.96,0,0.46,0.5916918664541448
387,388,307,105,2,2.0,3.5,8.1,0,0.53,0.6298125375844172
388,389,296,97,2,1.5,2.0,7.8,0,0.49,0.5106647510458844
389,390,320,108,3,3.5,4.0,8.44,1,0.76,0.7251247165898866
390,391,314,102,2,2.0,2.5,8.24,0,0.64,0.6333749201129448
391,392,318,106,3,2.0,3.0,8.65,0,0.71,0.7167668043016229
392,393,326,112,4,4.0,3.5,9.12,1,0.84,0.8252677582896784
393,394,317,104,2,3.0,3.0,8.76,0,0.77,0.7257229309133928
394,395,329,111,4,4.5,4.0,9.23,1,0.89,0.8567222753133552
395,396,324,110,3,3.5,3.5,9.04,1,0.82,0.8047700041364045
396,397,325,107,3,3.0,3.5,9.11,1,0.84,0.8082242502244004
397,398,330,116,4,5.0,4.5,9.45,1,0.91,0.9118556805498566
398,399,312,103,3,3.5,4.0,8.78,0,0.67,0.7389344429019582
399,400,333,117,4,5.0,4.0,9.66,1,0.95,0.9364426188459891
400,401,304,100,2,3.5,3.0,8.22,0,0.63,0.6174792526678115
401,402,315,105,2,3.0,3.0,8.34,0,0.66,0.669172686858948
402,403,324,109,3,3.5,3.0,8.94,1,0.78,0.77769075005906
403,404,330,116,4,4.0,3.5,9.23,1,0.91,0.8580722535138658
404,405,311,101,3,2.0,2.5,7.64,1,0.62,0.5465670748109668
405,406,302,99,3,2.5,3.0,7.45,0,0.52,0.5092713472058861
406,407,322,103,4,3.0,2.5,8.02,1,0.61,0.6274279889852901
407,408,298,100,3,2.5,4.0,7.95,1,0.58,0.5906548801612459
408,409,297,101,3,2.0,4.0,7.67,1,0.57,0.5536395562856522
409,410,300,98,1,2.0,2.5,8.02,0,0.61,0.5633285775071522
410,411,301,96,1,3.0,4.0,7.56,0,0.54,0.5386373636253978
411,412,313,94,2,2.5,1.5,8.13,0,0.56,0.5753468288788106
412,413,314,102,4,2.5,2.0,7.88,1,0.59,0.5758958262061329
413,414,317,101,3,3.0,2.0,7.94,1,0.49,0.5890782821579652
414,415,321,110,4,3.5,4.0,8.35,1,0.72,0.7204817637133605
415,416,327,106,4,4.0,4.5,8.75,1,0.76,0.7892966097442455
416,417,315,104,3,4.0,2.5,8.1,0,0.65,0.6257247966655517
417,418,316,103,3,3.5,2.0,7.68,0,0.52,0.5587202594445859
418,419,309,111,2,2.5,4.0,8.03,0,0.6,0.6521066002033029
419,420,308,102,2,2.0,3.5,7.98,1,0.58,0.6095711082259161
420,421,299,100,3,2.0,3.0,7.42,0,0.42,0.4999667306011717
421,422,321,112,3,3.0,4.5,8.95,1,0.77,0.8136718272510564
422,423,322,112,4,3.5,2.5,9.02,1,0.73,0.7786504211505383
423,424,334,119,5,4.5,5.0,9.54,1,0.94,0.9506758438570584
424,425,325,114,5,4.0,5.0,9.46,1,0.91,0.9070295352466822
425,426,323,111,5,4.0,5.0,9.86,1,0.92,0.9470970569722361
426,427,312,106,3,3.0,5.0,8.57,0,0.71,0.741575966987762
427,428,310,101,3,3.5,5.0,8.65,1,0.71,0.7364555879086998
428,429,316,103,2,2.0,4.5,8.74,0,0.69,0.7521903059202382
429,430,340,115,5,5.0,4.5,9.06,1,0.95,0.8821227447191955
430,431,311,104,3,4.0,3.5,8.13,1,0.74,0.6440113857557632
431,432,320,112,2,3.5,3.5,8.78,1,0.73,0.7666410767384582
432,433,324,112,4,4.5,4.0,9.22,1,0.86,0.8462622380702003
433,434,316,111,4,4.0,5.0,8.54,0,0.71,0.7603559535228688
434,435,306,103,3,3.5,3.0,8.21,0,0.64,0.6278236424547878
435,436,309,105,2,2.5,4.0,7.68,0,0.55,0.592800376591768
436,437,310,110,1,1.5,4.0,7.23,1,0.58,0.5469277863269117
437,438,317,106,1,1.5,3.5,7.65,1,0.61,0.596148204161548
438,439,318,110,1,2.5,3.5,8.54,1,0.67,0.7245975389819739
439,440,312,105,2,1.5,3.0,8.46,0,0.66,0.6751851920590193
440,441,305,104,2,2.5,1.5,7.79,0,0.53,0.5364207747274514
441,442,332,112,1,1.5,3.0,8.66,1,0.79,0.7634925525796183
442,443,331,116,4,4.5,4.5,9.44,1,0.92,0.912001403993119
443,444,321,114,5,4.5,4.5,9.16,1,0.87,0.84809687879057
444,445,324,113,5,4.0,5.0,9.25,1,0.92,0.8752382220790027
445,446,328,116,5,4.5,5.0,9.08,1,0.91,0.8703693963883694
446,447,327,118,4,5.0,5.0,9.67,1,0.93,0.9498834885099914
447,448,320,108,3,3.5,5.0,8.97,1,0.84,0.8172512027089294
448,449,312,109,2,2.5,4.0,9.02,0,0.8,0.7822939747368962
449,450,315,101,3,3.5,4.5,9.13,0,0.79,0.798203573523689
450,451,320,112,4,3.0,4.5,8.86,1,0.82,0.7997359988988189
451,452,324,113,4,4.5,4.5,9.25,1,0.89,0.8642932003376043
452,453,328,116,4,5.0,3.5,9.6,1,0.93,0.9030222656770475
453,454,319,103,3,2.5,4.0,8.76,1,0.73,0.7507374413429031
454,455,310,105,2,3.0,3.5,8.01,0,0.71,0.6268138979795475
455,456,305,102,2,1.5,2.5,7.64,0,0.59,0.5342333666207182
456,457,299,100,2,2.0,2.0,7.88,0,0.51,0.5358089429370136
457,458,295,99,1,2.0,1.5,7.57,0,0.37,0.47237557218630855
458,459,312,100,1,3.0,3.0,8.53,1,0.69,0.675104767989851
459,460,329,113,4,4.0,3.5,9.36,1,0.89,0.8655415314262438
460,461,319,105,4,4.0,4.5,8.66,1,0.77,0.7569004817888487
461,462,301,102,3,2.5,2.0,8.13,1,0.68,0.5782811200572882
462,463,307,105,4,3.0,3.0,7.94,0,0.62,0.5990496797436391
463,464,304,107,3,3.5,3.0,7.86,0,0.57,0.5873540724911988
464,465,298,97,2,2.0,3.0,7.21,0,0.45,0.4634871625795496
465,466,305,96,4,3.0,4.5,8.26,0,0.54,0.6501385184616622
466,467,314,99,4,3.5,4.5,8.73,1,0.71,0.739508483730626
467,468,318,101,5,3.5,5.0,8.78,1,0.78,0.7716780408999488
468,469,323,110,4,4.0,5.0,8.88,1,0.81,0.8180768442060868
469,470,326,114,4,4.0,3.5,9.16,1,0.86,0.8351264656064448
470,471,320,110,5,4.0,4.0,9.27,1,0.87,0.8379638337993347
471,472,311,103,3,2.0,4.0,8.09,0,0.64,0.6448499063516193
472,473,327,116,4,4.0,4.5,9.48,1,0.9,0.9070986414604905
473,474,316,102,2,4.0,3.5,8.15,0,0.67,0.6534199086876518
474,475,308,105,4,3.0,2.5,7.95,1,0.67,0.5908356076769148
475,476,300,101,3,3.5,2.5,7.88,0,0.59,0.5548562974239313
476,477,304,104,3,2.5,2.0,8.12,0,0.62,0.5885836927281769
477,478,309,105,4,3.5,2.0,8.18,0,0.65,0.6119229979076355
478,479,318,103,3,4.0,4.5,8.49,1,0.71,0.7279354936570215
479,480,325,110,4,4.5,4.0,8.96,1,0.79,0.8102683525187881
480,481,321,102,3,3.5,4.0,9.01,1,0.8,0.7870412099341788
481,482,323,107,4,3.0,2.5,8.48,1,0.78,0.6985670123265311
482,483,328,113,4,4.0,2.5,8.77,1,0.83,0.7633570563020822
483,484,304,103,5,5.0,3.0,7.92,0,0.71,0.5883251627332955
484,485,317,106,3,3.5,3.0,7.89,1,0.73,0.6188178184528375
485,486,311,101,2,2.5,3.5,8.34,1,0.7,0.6615319576489251
486,487,319,102,3,2.5,2.5,8.37,0,0.68,0.6625544159234571
487,488,327,115,4,3.5,4.0,9.14,0,0.79,0.8481326988542879
488,489,322,112,3,3.0,4.0,8.62,1,0.76,0.7615089092503307
489,490,302,110,3,4.0,4.5,8.5,0,0.65,0.7088000337873828
490,491,307,105,2,2.5,4.5,8.12,1,0.67,0.6568797285543742
491,492,297,99,4,3.0,3.5,7.81,0,0.54,0.5569668370621086
492,493,298,101,4,2.5,4.5,7.69,1,0.53,0.5712000620731783
493,494,300,95,2,3.0,1.5,8.22,1,0.62,0.5602584140575582
494,495,301,99,3,2.5,2.0,8.45,1,0.68,0.6126123574789624
495,496,332,108,5,4.5,4.0,9.02,1,0.87,0.8294519485352687
496,497,337,117,5,5.0,5.0,9.87,1,0.96,0.9964147265059786
497,498,330,120,5,4.5,5.0,9.56,1,0.93,0.946395956271906
498,499,312,103,4,4.0,5.0,8.43,0,0.73,0.7181749485907964
499,500,327,113,4,4.5,4.5,9.04,0,0.84,0.8440552558404324
